Regione,Abitanti
Abruzzo,1293941
Basilicata,553254
Calabria,1894110
Campania,5712143
Centro,11831092
Emilia-Romagna,4464119
Friuli-Venezia Giulia,1206216
Isole,6486911
Italia,59641488
Lazio,5755700
Liguria,1524826
Lombardia,10027602
Marche,1512672
Molise,300516
Nord,27616216
Nord-est,11627537
Nord-ovest,15988679
Piemonte,4311217
Provincia Autonoma Bolzano / Bozen,532644
Provincia Autonoma Trento,545425
Puglia,3953305
Sardegna,1611621
Sicilia,4875290
Sud,13707269
Toscana,3692555
Umbria,870165
Valle d'Aosta / Vallée d'Aoste,125034
Veneto,4879133
